var1,var2,correlation
Year,US_Inflation_Index,0.9986584538838974
Population_main,Population_wb,0.9999608731227468
Construction_value_added,Government_consumption,0.961362262486319
Construction_value_added,Gross_capital_formation_main,0.983922505894813
Construction_value_added,Gross_fixed_capital_formation,0.9852190034455881
Construction_value_added,Manufacturing_value_added,0.9681326928318642
Construction_value_added,Mining_manufacturing_utilities,0.9750324817083805
Construction_value_added,Total_value_added,0.9625007063876717
Construction_value_added,GNI_total_USD,0.9618598582782247
Construction_value_added,GDP_main,0.9638850360235853
Construction_value_added,GDP_usd,0.9649384940918546
Exports_main,Imports_main,0.9823820260286468
Exports_main,Exports_wb,0.9994253121150186
Exports_main,Imports_wb,0.979888911298381
Final_consumption_expenditure,Government_consumption,0.9776788318693977
Final_consumption_expenditure,Household_consumption,0.9985237279340711
Final_consumption_expenditure,Other_activities,0.9963522562652638
Final_consumption_expenditure,Total_value_added,0.9893374751303595
Final_consumption_expenditure,Transport_communication,0.9953563524406047
Final_consumption_expenditure,Wholesale_retail_trade,0.9938365143053025
Final_consumption_expenditure,GNI_total_USD,0.9907521681562097
Final_consumption_expenditure,GDP_main,0.9899071199583477
Final_consumption_expenditure,GDP_usd,0.9890158320206963
Government_consumption,Household_consumption,0.9648399740839403
Government_consumption,Other_activities,0.9656345445505753
Government_consumption,Total_value_added,0.9875077627572383
Government_consumption,Transport_communication,0.9765583888338151
Government_consumption,Wholesale_retail_trade,0.9762137868698988
Government_consumption,GNI_total_USD,0.9903500792846512
Government_consumption,GDP_main,0.990558706650606
Government_consumption,GDP_usd,0.9905705203861243
Gross_capital_formation_main,Gross_fixed_capital_formation,0.9997223176654584
Gross_capital_formation_main,Manufacturing_value_added,0.9859962935638311
Gross_capital_formation_main,Mining_manufacturing_utilities,0.9894027638057661
Gross_fixed_capital_formation,Manufacturing_value_added,0.9856663860528803
Gross_fixed_capital_formation,Mining_manufacturing_utilities,0.9886584508567311
Gross_fixed_capital_formation,GDP_usd,0.9500063856826967
Household_consumption,Other_activities,0.997037033723732
Household_consumption,Total_value_added,0.9826271139177857
Household_consumption,Transport_communication,0.9929469044599819
Household_consumption,Wholesale_retail_trade,0.9911936073995102
Household_consumption,GNI_total_USD,0.9836571017687936
Household_consumption,GDP_main,0.9825547480986357
Household_consumption,GDP_usd,0.9814537755694374
Imports_main,Exports_wb,0.9827361876538392
Imports_main,Imports_wb,0.9995172332405299
Manufacturing_value_added,Mining_manufacturing_utilities,0.9952050203337635
Other_activities,Total_value_added,0.9819384701211644
Other_activities,Transport_communication,0.9936414796434483
Other_activities,Wholesale_retail_trade,0.98743149617575
Other_activities,GNI_total_USD,0.9826173231093192
Other_activities,GDP_main,0.9811755449577563
Other_activities,GDP_usd,0.9805450264317924
Total_value_added,Transport_communication,0.9921231808393481
Total_value_added,Wholesale_retail_trade,0.9925766701402771
Total_value_added,GNI_total_USD,0.9994705921832804
Total_value_added,GDP_main,0.9994772549338262
Total_value_added,GDP_usd,0.999436197684122
Transport_communication,Wholesale_retail_trade,0.9947634887392888
Transport_communication,GNI_total_USD,0.9922698025585966
Transport_communication,GDP_main,0.991224555539512
Transport_communication,GDP_usd,0.9910002657768436
Wholesale_retail_trade,GNI_total_USD,0.9922007939827902
Wholesale_retail_trade,GDP_main,0.9916414266625081
Wholesale_retail_trade,GDP_usd,0.9912028448963454
GNI_total_USD,GDP_main,0.9998871233046974
GNI_total_USD,GDP_usd,0.9997941397556016
GDP_main,GDP_usd,0.9999212943560454
Exports_wb,Imports_wb,0.9817664452633212
